LGA_CODE_2016,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
LGA33430,228,15373,1203,16804,1619,30988,2237,34851,548,15434,1264,17242,393,16402,1542,18332,626,33138,3315,37081,702,33304,2974,36974,1020,32057,2923,36004,1540,26105,2592,30231,2231,21256,2117,25601,2223,9370,1072,12661,1771,2052,528,4345,12902,235479,21758,270141,132,14867,1182,16178,763,30163,2099,33028,329,15434,1148,16903,273,17068,1590,18929,506,35466,3370,39337,759,35931,2905,39593,1214,34784,2970,38965,1718,29484,2653,33851,2095,23051,2164,27312,3059,9813,1304,14181,3763,2664,875,7302,14604,248730,22256,285586,364,30238,2386,32978,2382,61158,4336,67874,870,30863,2410,34146,665,33474,3128,37264,1132,68600,6689,76418,1458,69240,5879,76569,2240,66838,5890,74972,3256,55587,5243,64086,4325,44312,4278,52921,5275,19184,2373,26838,5535,4718,1395,11643,27500,484205,44012,555721
LGA33610,3,330,42,369,29,698,84,812,11,258,30,296,4,250,22,273,10,518,73,597,8,521,63,596,30,610,81,726,42,640,79,758,34,437,60,529,48,216,37,300,30,42,16,85,240,4514,588,5340,3,311,40,361,17,641,65,726,7,266,28,296,0,239,29,271,4,622,69,697,10,552,74,644,19,599,60,676,36,550,70,656,38,437,63,540,40,213,35,288,69,52,11,129,250,4478,562,5288,7,636,87,733,49,1341,152,1537,12,521,58,595,3,486,51,547,12,1134,142,1292,22,1075,141,1240,47,1211,145,1403,77,1189,147,1412,73,873,125,1069,89,428,78,591,95,90,28,216,490,8987,1145,10630
LGA33620,29,1227,119,1376,218,2862,235,3314,84,1267,102,1454,58,968,73,1105,105,1824,198,2127,138,2110,208,2453,253,2776,309,3347,388,3062,357,3812,463,2802,323,3587,289,1104,191,1579,122,219,78,427,2161,20213,2201,24578,28,1114,113,1259,98,2772,232,3099,49,1226,95,1367,39,934,87,1062,67,2089,176,2334,100,2445,210,2758,241,3075,314,3630,319,3245,347,3912,313,2797,315,3420,274,1068,189,1533,253,222,139,616,1788,20985,2213,24985,63,2344,231,2638,318,5631,470,6417,131,2489,198,2817,101,1906,156,2171,172,3916,377,4459,241,4555,420,5210,493,5851,629,6976,711,6305,703,7719,774,5597,634,7007,562,2173,381,3108,382,442,216,1037,3944,41200,4418,49559
LGA33800,0,216,20,240,21,584,47,646,8,332,21,365,3,230,28,256,19,392,35,443,21,453,45,514,32,651,70,747,51,778,72,899,65,662,78,806,93,349,39,477,57,92,16,161,363,4730,460,5556,0,215,17,230,10,536,45,585,11,264,14,283,10,161,24,192,5,357,42,403,17,477,50,539,22,690,58,773,51,709,67,826,56,609,50,707,100,374,43,520,134,96,25,253,403,4480,438,5332,3,427,38,468,27,1118,90,1239,20,594,34,647,13,388,50,449,20,747,74,842,34,925,97,1053,55,1338,130,1521,98,1494,140,1728,118,1268,129,1518,192,726,81,994,188,186,39,414,770,9214,900,10885
LGA33830,0,55,9,61,0,83,3,93,0,31,8,47,0,24,12,38,0,68,3,70,0,74,4,75,0,49,3,53,3,34,0,40,0,8,3,10,7,0,0,11,3,0,0,7,21,426,56,499,0,37,0,38,0,56,13,72,0,33,10,50,0,38,3,40,0,72,0,72,0,56,5,56,4,39,0,45,3,28,0,27,3,10,0,16,3,4,0,8,0,0,0,0,9,372,43,423,0,95,5,103,0,142,21,157,0,66,27,89,0,65,18,81,0,138,7,139,0,121,11,130,3,92,9,101,5,60,0,69,6,20,3,28,7,7,0,17,3,0,0,7,29,796,98,918
LGA33960,151,7639,598,8389,985,13262,928,15172,328,6115,456,6896,266,6096,581,6944,371,12860,1178,14403,388,11518,993,12896,563,10488,954,12008,769,7936,734,9436,789,4780,466,6041,581,1941,256,2776,348,418,71,835,5535,83043,7218,95797,77,7171,566,7819,454,13180,910,14543,185,5930,446,6562,178,6269,538,6989,325,14167,1115,15608,450,11960,911,13318,674,10789,907,12371,819,8117,691,9629,730,5083,482,6298,827,2262,303,3395,787,511,117,1409,5507,85442,6993,97937,228,14812,1166,16211,1436,26439,1833,29717,513,12046,901,13460,451,12366,1118,13931,698,27028,2295,30018,836,23474,1909,26216,1237,21277,1867,24379,1582,16051,1422,19058,1524,9862,951,12336,1405,4202,560,6165,1133,922,189,2246,11044,168485,14211,193733
LGA33980,17,902,127,1036,43,1477,157,1679,8,451,58,511,3,501,136,647,7,1600,508,2119,10,1589,389,1990,14,1282,309,1609,31,956,213,1202,32,369,66,473,16,96,15,130,8,17,3,26,193,9244,1979,11419,0,888,105,991,22,1398,168,1586,14,430,60,509,3,516,109,631,13,1613,274,1895,16,1264,195,1479,18,992,164,1177,25,639,87,751,23,263,42,325,26,88,14,128,22,22,3,49,184,8112,1226,9516,16,1788,227,2034,68,2875,322,3270,18,888,120,1020,7,1013,250,1273,16,3211,785,4014,26,2856,586,3470,35,2276,475,2783,57,1593,298,1948,53,636,105,797,40,184,33,255,31,41,3,72,374,17357,3207,20940
LGA34420,0,45,4,52,3,77,3,78,0,42,0,42,0,33,0,33,4,55,8,70,0,62,0,62,0,54,0,54,0,39,0,45,3,19,0,21,0,0,0,0,0,0,0,0,10,421,18,451,0,38,3,35,0,85,3,89,0,33,0,33,0,43,0,43,0,83,3,88,0,66,0,69,0,58,0,64,4,47,0,49,3,13,0,14,0,0,0,0,3,0,0,3,18,468,15,493,0,76,10,87,3,157,8,167,0,67,0,69,0,82,0,82,4,141,13,154,0,130,0,133,4,116,0,119,4,87,0,95,8,26,0,35,0,0,0,5,3,3,0,7,28,884,33,944
LGA34530,23,974,91,1079,112,2285,154,2560,36,1093,82,1213,27,812,181,1017,42,1495,374,1908,26,1872,404,2293,87,2240,368,2690,136,2283,295,2713,177,1607,184,1969,158,627,98,888,112,123,53,289,940,15401,2279,18621,4,884,67,954,45,2062,152,2256,15,1034,87,1137,16,743,57,813,25,1647,128,1806,36,1974,172,2184,73,2380,219,2668,138,2248,204,2584,126,1573,167,1856,188,692,96,980,216,132,57,404,881,15360,1407,17649,23,1849,158,2035,158,4348,307,4815,59,2122,164,2345,37,1551,236,1833,69,3143,508,3717,68,3841,571,4481,158,4617,583,5354,273,4529,492,5298,302,3181,350,3828,348,1327,198,1868,331,254,113,694,1819,30764,3685,36272
LGA34570,0,42,15,52,0,56,4,67,0,31,0,29,0,19,11,33,0,44,3,48,0,45,10,48,5,32,4,36,3,19,0,27,0,5,4,13,0,3,0,4,0,0,0,0,6,300,51,357,0,18,14,33,0,68,4,76,0,26,0,27,0,24,4,35,0,56,7,66,0,28,3,31,0,36,3,45,3,27,0,25,3,12,0,13,0,3,0,3,0,0,0,0,6,306,44,360,0,61,26,83,0,123,13,141,0,60,3,62,0,46,16,62,0,97,12,110,0,76,12,87,7,67,3,85,3,48,3,54,4,16,4,26,0,8,0,10,0,0,0,0,20,605,90,712
LGA34580,18,1080,113,1219,173,2386,169,2730,51,1194,114,1358,38,1033,150,1220,70,1919,328,2321,83,1889,285,2262,166,2218,270,2655,212,1975,247,2434,243,1584,185,2020,146,640,84,872,85,112,24,216,1290,16035,1973,19298,14,987,99,1109,75,2229,192,2493,47,1198,119,1362,30,1226,122,1379,36,2101,188,2335,81,2042,214,2337,141,2369,276,2781,165,1991,220,2374,191,1573,164,1931,192,562,99,849,198,122,48,365,1177,16398,1729,19309,36,2067,219,2324,244,4621,356,5219,103,2394,226,2721,70,2259,274,2599,106,4020,517,4650,168,3933,502,4595,300,4587,544,5435,376,3961,465,4809,439,3158,349,3945,336,1200,179,1717,286,227,70,587,2468,32438,3706,38609
LGA34590,194,10689,864,11743,1266,20498,1511,23274,485,9833,719,11036,336,9654,733,10720,537,18751,1486,20778,532,18328,1422,20280,793,16686,1412,18890,1125,13706,1098,15930,1458,9222,860,11543,1014,3046,383,4447,632,525,112,1267,8377,130933,10595,149901,105,10401,857,11368,631,20119,1402,22152,256,9468,696,10416,230,9337,742,10312,416,19995,1525,21942,621,19025,1427,21072,1032,17624,1440,20095,1307,14515,1208,17038,1346,9741,821,11915,1448,3270,383,5103,1287,645,153,2089,8677,134150,10660,153480,294,21096,1718,23109,1896,40614,2914,45424,734,19300,1411,21444,563,18994,1471,21029,956,38748,3012,42713,1152,37350,2847,41352,1829,34307,2845,38980,2435,28220,2306,32961,2802,18966,1685,23460,2467,6315,771,9550,1923,1173,268,3357,17051,265082,21251,303386
LGA34710,3,99,15,116,7,214,24,241,0,109,9,117,3,99,12,108,6,168,17,192,5,173,19,191,0,215,24,239,14,241,29,291,17,132,20,170,22,59,11,91,14,16,4,32,93,1525,180,1791,3,95,6,105,4,196,23,229,3,120,14,128,3,99,12,113,5,225,24,248,4,198,24,228,10,250,22,285,8,208,25,240,12,114,20,145,15,70,6,97,25,17,4,47,90,1602,178,1869,8,196,17,226,10,412,49,473,0,220,21,247,4,197,19,223,9,397,40,445,12,368,43,420,14,463,49,520,26,455,55,527,30,247,41,317,39,126,17,182,39,34,6,76,186,3122,358,3660
LGA34770,62,3626,265,3957,353,7368,490,8215,103,3398,230,3733,74,2993,309,3375,131,6685,843,7664,134,6625,938,7701,229,7441,1022,8692,336,6406,802,7547,403,3773,413,4591,409,1525,221,2158,265,291,61,618,2513,50138,5603,58256,28,3533,245,3800,166,7139,494,7802,60,3253,219,3531,55,3015,252,3323,108,7121,586,7821,153,6874,550,7576,247,7369,634,8256,317,6009,528,6863,357,3648,347,4356,516,1663,187,2364,559,398,70,1027,2560,50035,4116,56713,89,7160,505,7757,515,14511,989,16012,164,6656,448,7264,131,6006,559,6700,240,13808,1436,15483,289,13504,1485,15281,478,14807,1659,16946,659,12422,1329,14415,763,7427,764,8952,920,3186,411,4517,826,695,131,1645,5072,100173,9719,114969
LGA34800,0,31,7,37,0,33,0,33,0,3,0,9,0,23,0,23,0,63,6,75,0,68,12,78,0,63,6,66,3,59,3,69,4,34,4,37,0,12,0,15,0,0,0,0,10,383,42,432,0,22,3,25,0,44,0,48,0,14,3,14,0,22,6,23,0,53,5,53,0,53,3,52,0,40,3,49,3,42,8,52,0,29,0,29,0,9,3,8,4,0,0,4,7,332,28,364,0,55,7,58,0,73,0,79,0,20,3,21,0,46,3,50,0,119,8,124,0,119,17,130,0,105,14,118,7,103,8,123,4,62,4,72,0,20,4,25,3,3,0,9,22,716,66,796
LGA34830,0,8,3,13,0,25,0,25,0,13,0,13,0,12,0,11,0,23,0,22,0,16,0,16,0,14,0,14,0,24,0,20,0,7,0,7,0,3,0,7,0,0,0,0,3,145,5,151,0,24,4,23,0,27,0,27,0,9,0,9,0,14,3,19,0,19,0,17,0,11,0,14,0,17,0,22,0,20,0,17,3,4,0,7,0,0,0,0,0,0,0,0,6,148,8,157,0,30,7,38,0,47,0,47,0,22,0,22,0,28,3,33,0,42,3,43,0,28,0,28,0,34,0,33,3,36,0,44,3,11,0,12,4,3,0,5,0,0,0,0,13,290,13,310
LGA34860,4,463,69,542,34,809,99,936,4,352,26,387,4,316,31,357,4,806,125,938,19,671,95,782,23,746,88,860,37,676,85,797,53,449,50,559,29,221,24,278,37,36,7,82,253,5546,721,6515,3,407,43,455,13,737,78,825,4,276,25,305,3,336,38,373,7,804,102,920,18,729,87,827,30,714,82,821,33,596,66,692,31,392,48,471,55,228,27,316,80,53,14,141,275,5269,607,6150,9,869,113,996,49,1539,172,1762,10,633,49,693,8,655,71,729,17,1611,234,1858,29,1395,187,1614,49,1460,172,1683,67,1269,157,1492,85,844,95,1027,89,444,53,589,118,90,27,225,526,10811,1329,12666
LGA34880,9,475,53,534,45,1256,140,1449,5,524,103,628,9,418,238,668,16,853,428,1301,34,989,353,1376,45,1270,267,1584,100,1270,230,1609,89,1029,172,1297,98,488,86,678,69,90,24,179,536,8677,2097,11310,0,471,52,523,26,1200,138,1367,8,520,66,593,8,395,52,454,22,894,119,1037,25,1096,138,1257,54,1283,179,1515,76,1271,161,1507,76,985,132,1197,125,401,65,595,106,76,13,202,540,8578,1125,10251,6,945,108,1064,74,2460,279,2812,16,1041,173,1228,20,812,295,1128,31,1751,554,2339,62,2081,487,2635,102,2550,448,3100,178,2544,393,3117,171,2017,302,2489,228,888,150,1267,175,167,39,379,1072,17256,3227,21557
LGA35010,308,13444,866,14610,1938,27700,1502,31137,687,12735,682,14105,444,11573,932,12953,695,22422,1966,25082,747,25050,1955,27744,1051,25156,1841,28053,1566,20428,1541,23530,2112,15978,1407,19491,1488,6430,765,8676,945,1345,491,2783,11969,182264,13940,208170,172,12841,789,13804,897,27112,1565,29583,352,12496,649,13497,290,11757,704,12746,598,24683,1641,26921,874,27353,1649,29875,1310,26813,1647,29770,1681,22287,1583,25551,1846,17673,1410,20933,1988,6892,990,9865,1944,1633,1002,4580,11963,191539,13636,217136,475,26279,1654,28417,2836,54817,3068,60716,1033,25240,1331,27602,737,23326,1639,25704,1294,47103,3603,52002,1616,52402,3600,57623,2365,51966,3493,57823,3249,42718,3128,49090,3959,33652,2814,40430,3474,13319,1756,18548,2887,2975,1496,7364,23929,373805,27575,425302
LGA35250,0,41,12,47,0,122,17,140,0,48,7,54,0,30,0,36,0,77,11,84,0,61,9,67,3,59,9,64,4,31,0,41,4,21,4,21,3,3,3,12,0,0,0,0,16,489,56,563,0,35,9,48,0,107,11,117,0,46,5,54,3,41,0,45,0,85,15,95,0,69,7,79,3,63,6,70,4,31,7,45,3,17,0,28,0,6,0,8,0,0,0,0,22,505,51,579,0,79,14,95,0,229,19,251,0,99,10,105,3,77,3,83,0,155,25,182,0,127,9,146,3,116,14,134,6,68,6,77,8,36,4,47,4,13,3,17,0,0,0,0,35,999,113,1143
LGA35300,5,759,103,873,26,1205,179,1411,13,495,73,581,3,609,92,703,17,1514,260,1798,20,1172,142,1326,20,1099,186,1305,38,779,134,950,35,412,56,508,24,131,12,175,9,14,3,30,218,8191,1251,9656,4,735,105,843,27,1146,185,1355,10,451,70,536,9,610,79,699,14,1507,213,1732,19,1106,150,1268,28,1019,177,1229,33,621,100,750,37,297,59,397,42,102,18,160,15,27,13,53,240,7617,1164,9012,11,1494,212,1712,58,2350,362,2763,25,945,146,1118,13,1220,169,1398,29,3024,478,3526,32,2274,290,2596,51,2119,365,2532,78,1397,231,1708,70,711,116,902,63,240,31,335,26,43,10,80,455,15801,2413,18671
LGA35600,5,153,12,168,17,272,19,300,3,126,4,133,0,117,9,131,3,218,22,245,7,217,19,240,8,248,20,276,16,266,24,304,20,157,14,193,18,71,10,105,14,14,7,35,106,1867,155,2131,0,144,13,161,9,247,15,273,0,84,5,91,0,129,13,139,0,263,29,289,4,235,17,252,10,281,24,319,7,266,22,295,9,157,10,175,17,84,16,117,30,20,12,65,89,1911,177,2180,3,304,27,333,25,518,37,570,0,208,13,224,6,247,21,267,7,482,49,533,9,455,31,496,22,531,47,598,21,531,46,601,31,307,32,364,39,162,22,221,45,40,19,102,198,3777,332,4307
LGA35670,0,49,0,49,0,98,0,104,0,43,0,43,0,34,8,39,0,66,0,68,0,61,3,63,3,63,0,67,3,31,0,36,0,13,0,13,3,3,0,3,0,0,0,0,10,472,16,495,0,49,3,51,0,85,3,81,0,39,0,39,0,54,0,54,0,68,0,69,0,57,0,57,5,56,0,55,8,30,0,30,7,6,0,14,3,4,0,4,0,0,0,0,19,439,7,464,0,100,8,105,0,183,3,187,0,84,0,84,0,96,8,99,0,135,0,136,0,117,3,120,9,121,0,124,8,58,0,70,7,19,0,28,3,7,0,10,0,0,0,0,28,909,17,957
LGA35740,14,1029,64,1099,114,2956,198,3264,49,1358,66,1470,32,858,71,959,62,1667,134,1870,71,2633,232,2939,92,3222,286,3602,185,3526,292,4007,273,3279,302,3851,232,1362,155,1751,173,292,76,539,1300,22176,1866,25340,6,996,59,1068,61,2793,153,3016,27,1268,71,1371,26,794,68,886,58,1846,119,2015,81,2905,217,3210,140,3935,282,4359,194,3948,303,4439,227,3296,268,3797,257,1392,160,1810,359,304,172,837,1440,23488,1876,26810,20,2027,125,2170,177,5753,351,6278,78,2628,131,2838,53,1649,139,1846,118,3511,256,3887,153,5540,449,6144,235,7157,569,7959,380,7472,595,8442,502,6574,571,7647,492,2757,312,3565,528,599,250,1373,2737,45665,3749,52149
LGA35760,3,242,28,277,26,558,85,674,13,246,21,277,8,182,30,218,11,447,90,549,19,432,68,520,36,621,106,766,53,642,91,785,80,595,84,762,70,281,64,416,44,63,16,124,370,4294,694,5353,0,214,26,245,11,574,79,670,4,241,20,261,3,195,36,228,8,438,61,508,10,487,74,574,25,591,85,700,59,602,75,740,66,534,89,685,68,241,48,359,89,50,21,162,344,4162,618,5129,4,456,58,518,45,1133,161,1339,16,480,44,538,13,369,61,444,17,882,149,1051,32,918,147,1091,61,1208,194,1467,116,1241,169,1525,144,1123,175,1442,139,519,110,772,135,114,39,292,714,8456,1309,10478
LGA35780,0,188,14,204,6,306,11,320,0,121,7,129,0,104,3,112,3,171,5,180,7,121,9,138,3,114,13,134,5,89,4,96,3,38,0,42,3,7,0,8,3,0,0,6,30,1265,66,1359,0,190,8,197,5,292,12,307,0,111,11,122,0,130,4,136,3,206,13,223,3,159,9,170,3,130,13,145,7,76,7,96,9,25,0,38,0,4,0,10,0,0,0,0,30,1330,70,1434,0,378,22,402,6,601,20,625,0,230,17,246,0,238,10,241,4,380,20,401,9,277,20,307,7,243,20,277,18,168,12,190,12,65,3,82,0,10,0,13,3,0,0,6,65,2592,143,2796
LGA35790,0,136,11,145,4,235,7,244,0,111,3,114,0,109,8,116,3,154,5,163,9,131,7,142,10,154,7,171,7,80,0,82,4,33,0,38,0,3,0,5,0,0,0,0,33,1134,42,1209,0,177,6,182,0,210,8,217,0,104,3,108,0,109,3,111,0,176,7,188,3,121,3,131,3,138,10,150,11,103,0,115,10,20,0,31,4,0,0,4,0,0,0,0,39,1159,37,1235,0,311,11,324,6,440,9,457,0,214,9,223,0,218,8,232,3,328,14,347,10,249,10,268,11,298,15,325,18,181,3,199,15,52,0,69,8,3,0,8,0,0,0,0,69,2294,81,2446
LGA35800,0,51,4,57,0,86,7,93,0,24,9,30,0,32,0,32,0,81,0,84,5,79,12,88,3,83,8,103,4,140,11,160,4,89,9,105,8,45,5,61,4,4,0,11,37,712,68,815,0,57,3,57,0,89,11,102,0,30,4,33,0,42,7,54,3,85,8,97,0,69,3,79,14,113,5,129,14,109,11,134,7,79,8,89,11,21,0,28,10,3,4,18,53,699,74,824,0,108,9,116,0,178,20,195,0,53,8,67,0,77,7,83,3,165,14,176,3,148,16,164,16,197,16,234,20,242,27,294,12,171,13,198,18,65,6,89,14,8,3,29,92,1407,144,1640
LGA36070,0,35,4,37,0,59,6,65,0,28,0,28,0,20,0,20,0,39,3,36,3,58,4,60,0,63,3,63,0,34,0,33,4,12,0,16,7,4,0,7,0,0,0,0,13,347,16,375,0,31,3,32,0,69,0,70,0,25,3,22,0,39,0,39,0,61,4,63,0,55,0,56,0,45,0,45,4,24,0,27,5,13,0,19,3,0,0,8,0,0,0,0,16,352,8,378,0,62,4,69,0,121,9,132,0,51,3,50,0,53,0,53,0,98,3,100,4,113,4,122,0,105,3,109,4,55,0,64,7,27,0,41,7,4,0,9,0,0,0,0,30,702,29,749
LGA36150,0,28,0,32,4,65,0,68,0,22,0,20,3,20,0,23,0,52,3,58,0,36,3,37,0,62,6,71,4,57,9,62,3,36,11,46,0,7,0,9,0,4,0,3,19,388,31,436,0,19,0,20,0,48,0,48,3,7,0,4,0,20,0,20,0,64,5,65,0,43,0,45,5,60,4,76,0,43,6,51,3,26,0,25,3,14,0,17,0,3,0,9,19,336,18,377,0,51,4,54,4,110,0,115,3,24,0,33,3,43,0,48,0,115,9,122,0,73,4,78,6,125,9,143,4,95,17,112,6,56,11,73,3,16,0,26,3,9,0,9,37,726,47,813
LGA36250,59,3980,188,4223,545,9131,399,10072,181,4729,167,5083,129,3929,168,4228,213,7165,369,7745,238,8162,460,8854,322,9246,506,10070,493,8552,548,9594,689,6301,412,7403,583,2631,263,3477,447,593,190,1233,3899,64420,3669,71985,37,3666,179,3883,273,8810,348,9427,97,4400,156,4648,76,3725,162,3965,184,7448,387,8020,224,8953,426,9606,378,10261,475,11122,525,9252,502,10278,645,6844,460,7954,814,2916,350,4079,934,749,359,2044,4184,67027,3811,75022,91,7652,362,8102,813,17936,751,19502,282,9132,320,9730,209,7653,332,8191,399,14615,752,15769,457,17112,884,18459,703,19508,985,21188,1013,17804,1052,19872,1336,13146,876,15357,1396,5545,612,7557,1382,1342,549,3279,8085,131450,7483,147010
LGA36300,0,22,3,25,0,41,3,49,0,21,5,23,0,24,7,33,0,61,8,73,0,38,3,38,0,43,8,48,3,53,0,61,4,31,0,35,3,6,0,14,5,4,0,8,16,355,37,410,0,27,0,30,0,45,3,44,0,6,3,14,0,25,5,32,0,65,0,70,0,35,3,40,0,49,9,55,0,46,3,44,0,18,3,22,8,16,3,20,4,0,0,4,15,329,35,378,0,52,3,53,0,89,6,94,0,33,4,34,0,56,6,63,0,128,13,140,0,70,11,81,3,95,10,110,4,98,3,107,3,53,3,63,13,21,3,36,5,4,0,8,32,686,71,791
LGA36370,61,2508,191,2765,364,4993,362,5717,130,2457,165,2745,94,2362,223,2672,134,4891,526,5555,128,4128,428,4686,232,4323,536,5093,292,3942,448,4686,352,2580,248,3182,365,1212,150,1727,229,296,53,582,2379,33700,3323,39402,24,2516,200,2747,173,4860,317,5350,63,2517,224,2805,66,2444,230,2737,98,5070,364,5538,166,4333,361,4859,228,4632,395,5253,339,3909,356,4597,345,2639,266,3249,566,1417,180,2161,560,391,75,1032,2628,34725,2972,40321,87,5023,391,5507,532,9858,684,11069,190,4974,390,5548,155,4802,447,5408,238,9965,888,11087,292,8462,788,9543,462,8959,933,10348,631,7850,802,9284,699,5223,508,6434,930,2628,326,3889,791,693,131,1609,5007,68431,6292,79726
LGA36510,19,937,84,1040,124,2484,199,2809,55,1106,97,1264,41,751,94,883,49,1418,234,1700,69,2004,241,2318,131,2482,272,2886,188,2397,268,2856,242,2015,231,2483,193,890,94,1175,151,159,34,342,1272,16642,1846,19761,13,887,87,986,72,2490,191,2755,25,1072,86,1184,24,773,79,879,40,1590,175,1802,98,2290,198,2590,127,2688,270,3079,165,2499,272,2936,186,2063,211,2451,209,870,103,1187,260,177,27,463,1212,17402,1696,20308,29,1824,168,2022,194,4979,395,5565,81,2178,186,2446,64,1521,175,1760,90,3006,410,3505,167,4297,439,4909,256,5171,545,5967,360,4898,540,5791,427,4075,434,4940,406,1763,196,2359,412,335,64,804,2486,34039,3545,40072
LGA36580,10,697,75,781,106,1523,143,1772,29,703,67,794,22,480,50,551,39,1045,89,1173,63,1169,133,1365,108,1404,175,1685,222,1478,173,1869,186,1254,140,1578,130,479,60,664,65,68,14,149,980,10291,1108,12381,5,697,87,787,41,1492,156,1694,16,601,59,677,17,526,63,607,26,1127,109,1264,61,1277,139,1476,119,1424,142,1692,164,1499,170,1841,150,1166,120,1432,123,391,47,558,114,67,20,197,838,10263,1114,12215,21,1391,155,1570,145,3015,305,3461,41,1299,126,1472,40,1006,113,1153,68,2170,197,2439,125,2443,272,2836,226,2833,318,3375,390,2973,344,3711,338,2421,254,3015,253,868,101,1221,175,134,33,346,1827,20556,2218,24597
